step,timestamp,current_mark_ml,pred_adaboost,pred_GBR,pred_lr,pred_svr,pred_heuristic,current_mark_nn,pred_lstm,pred_optm,action_adaboost,action_GBR,action_lr,action_svr,action_heuristic,action_lstm,action_optm,portfolio_value_adaboost,portfolio_value_GBR,portfolio_value_lr,portfolio_value_svr,portfolio_value_heuristic,portfolio_value_lstm,portfolio_value_optm,investment_adaboost,investment_GBR,investment_lr,investment_svr,investment_heuristic,investment_lstm,investment_optm
10,2025-04-08 05:27:38.722916,58969.09,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58968.70999999999,58969.09,58975.18,58969.82,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,7999.957944323051,0.0,10999.888926701022,0.0,0.0,0.0,0.0,8000.0,0.0,11000.0,0.0
11,2025-04-08 05:27:39.014912,58969.09,58966.13756625453,58967.84660357582,58970.13428974949,58971.385195678944,58969.09,58969.09,58975.027,58969.645,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,8999.95794432305,0.0,11999.888926701022,0.0,0.0,0.0,0.0,9000.0,0.0,12000.0,0.0
12,2025-04-08 05:27:39.301908,58969.09,58966.13756625453,58967.84660357582,58970.13428974949,58971.385195678944,58969.09,58969.09,58975.027,58969.645,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,9999.95794432305,0.0,12999.888926701022,0.0,0.0,0.0,0.0,10000.0,0.0,13000.0,0.0
13,2025-04-08 05:27:39.586910,58969.15,58966.13756625453,58967.84660357582,58970.390341251805,58971.58617012259,58969.21000000001,58969.15,58975.24,58969.914,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,10999.968119102357,0.0,13999.902153856734,0.0,0.0,0.0,0.0,11000.0,0.0,14000.0,0.0
14,2025-04-08 05:27:39.872923,58969.15,58966.13756625453,58967.84660357582,58970.390341251805,58971.58617012259,58969.15,58969.15,58975.24,58969.914,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,11999.968119102357,0.0,14999.902153856736,0.0,0.0,0.0,0.0,12000.0,0.0,15000.0,0.0
15,2025-04-08 05:27:40.157908,58969.03,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58968.909999999996,58969.03,58975.18,58969.82,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,12999.943699619047,0.0,15999.871629620615,0.0,0.0,0.0,0.0,13000.0,0.0,16000.0,0.0
0,2025-04-08 05:29:28.661933,58970.45,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58970.45,58970.45,58975.18,58969.82,hold,hold,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,13000.256743941693,0.0,17000.25691351818,0.0,0.0,0.0,0.0,13000.0,0.0,17000.0,0.0
1,2025-04-08 05:29:28.967913,58970.45,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58970.45,58970.45,58975.18,58969.82,hold,hold,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,13000.256743941693,0.0,18000.256913518184,0.0,0.0,0.0,0.0,13000.0,0.0,18000.0,0.0
2,2025-04-08 05:29:29.259480,58970.44,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58970.43000000001,58970.44,58975.18,58969.82,hold,hold,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,13000.25453940421,0.0,19000.253861098387,0.0,0.0,0.0,0.0,13000.0,0.0,19000.0,0.0
3,2025-04-08 05:29:29.549826,58969.4,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58968.36,58969.4,58975.18,58969.82,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,14000.025267505935,0.0,19999.918773484733,0.0,0.0,0.0,0.0,14000.0,0.0,20000.0,0.0
